STATE_NAME,STATE,DATE,CASE_TYPE,DEMO_GROUP,CASES
Illinois,17,2021-03-08,Complete Coverage,CASES_Male,6.416370007313832
Maine,23,2021-03-08,Complete Coverage,CASES_Male,7.934667655353496
Maryland,24,2021-03-08,Complete Coverage,CASES_Male,6.808063874572573
Massachusetts,25,2021-03-08,Complete Coverage,CASES_Male,6.0768156558168895
Minnesota,27,2021-03-08,Complete Coverage,CASES_Male,11.851259746652
Mississippi,28,2021-03-08,Complete Coverage,CASES_Male,0.0
Nebraska,31,2021-03-08,Complete Coverage,CASES_Male,5.9740348430181
Ohio,39,2021-03-08,Complete Coverage,CASES_Male,6.591517550983656
Pennsylvania,42,2021-03-08,Complete Coverage,CASES_Male,4.734952292352959
Rhode Island,44,2021-03-08,Complete Coverage,CASES_Male,0.0
Virginia,51,2021-03-08,Complete Coverage,CASES_Male,5.998513900458948
Washington,53,2021-03-08,Complete Coverage,CASES_Male,0.0
West Virginia,54,2021-03-08,Complete Coverage,CASES_Male,9.124885950189801
California,6,2021-03-08,Partial Coverage,CASES_Male,0.0
Colorado,8,2021-03-08,Partial Coverage,CASES_Male,13.375887153143987
Indiana,18,2021-03-08,Partial Coverage,CASES_Male,1.5748813381681503
Louisiana,22,2021-03-08,Partial Coverage,CASES_Male,1.1555744646126023
North Carolina,37,2021-03-08,Partial Coverage,CASES_Male,12.0273664990675
West Virginia,54,2021-03-08,Partial Coverage,CASES_Male,0.0
Indiana,18,2021-03-08,Complete Coverage,CASES_Male,7.860221482007975
North Carolina,37,2021-03-08,Complete Coverage,CASES_Male,7.274937705185458
Delaware,10,2021-03-08 00:00:00,Partial Coverage,CASES_Male,22.019656197097238
Texas,48,2021-03-08,Partial Coverage,CASES_Male,12.460377226439872
Texas,48,2021-03-08,Complete Coverage,CASES_Male,6.744831629509519
Tennessee,47,2021-03-08 00:00:00,Complete Coverage,CASES_Male,6.673951058132385
Tennessee,47,2021-03-08 00:00:00,Partial Coverage,CASES_Male,12.326186687089372
Missouri,29,2021-03-08,Partial Coverage,CASES_Male,12.9
North Dakota,38,2021-03-08,Partial Coverage,CASES_Male,0.0
Vermont,50,2021-03-08,Partial Coverage,CASES_Male,17.1
Wisconsin,55,2021-03-08,Partial Coverage,CASES_Male,14.0
North Dakota,38,2021-03-08,Complete Coverage,CASES_Male,0.0
Wisconsin,55,2021-03-08,Complete Coverage,CASES_Male,7.5
Alabama,1,2021-03-08,Partial,CASES_Male,260305.0
Alaska,2,2021-03-08,Partial,CASES_Male,73900.0
Arizona,4,2021-03-08,Partial,CASES_Male,562510.0
District of Columbia,11,2021-03-08,Partial,CASES_Male,14564.0
Florida,12,2021-03-08,Partial,CASES_Male,640126.0
Georgia,13,2021-03-08,Partial,CASES_Male,0.0
Idaho,16,2021-03-08,Partial,CASES_Male,0.0
Illinois,17,2021-03-08,Partial,CASES_Male,1265336.0
Kansas,20,2021-03-08,Partial,CASES_Male,162112.0
Kentucky,21,2021-03-08,Partial,CASES_Male,296732.0
Maine,23,2021-03-08,Partial,CASES_Male,102294.0
Maryland,24,2021-03-08,Partial,CASES_Male,376002.0
Massachusetts,25,2021-03-08,Partial,CASES_Male,484521.0
Minnesota,27,2021-03-08,Partial,CASES_Male,626445.0
Mississippi,28,2021-03-08,Partial,CASES_Male,0.0
Nebraska,31,2021-03-08,Partial,CASES_Male,118048.0
Ohio,39,2021-03-08,Partial,CASES_Male,719652.0
Oregon,41,2021-03-08,Partial,CASES_Male,272380.0
Pennsylvania,42,2021-03-08,Partial,CASES_Male,417024.0
Rhode Island,44,2021-03-08,Partial,CASES_Male,72200.0
South Dakota,46,2021-03-08,Partial,CASES_Male,62383.0
Utah,49,2021-03-08,Partial,CASES_Male,0.0
Virginia,51,2021-03-08,Partial,CASES_Male,496638.0
Washington,53,2021-03-08,Partial,CASES_Male,0.0
Connecticut,9,2021-03-08,Complete,CASES_Male,124611.0
District of Columbia,11,2021-03-08,Complete,CASES_Male,11343.0
Florida,12,2021-03-08,Complete,CASES_Male,775694.0
Illinois,17,2021-03-08,Complete,CASES_Male,399519.0
Maine,23,2021-03-08,Complete,CASES_Male,52219.0
Maryland,24,2021-03-08,Complete,CASES_Male,199399.0
Massachusetts,25,2021-03-08,Complete,CASES_Male,203304.0
Minnesota,27,2021-03-08,Complete,CASES_Male,332998.0
Mississippi,28,2021-03-08,Complete,CASES_Male,0.0
Nebraska,31,2021-03-08,Complete,CASES_Male,57736.0
Ohio,39,2021-03-08,Complete,CASES_Male,377731.0
Pennsylvania,42,2021-03-08,Complete,CASES_Male,297088.0
Rhode Island,44,2021-03-08,Complete,CASES_Male,0.0
Virginia,51,2021-03-08,Complete,CASES_Male,251953.0
Washington,53,2021-03-08,Complete,CASES_Male,0.0
West Virginia,54,2021-03-08,Complete,CASES_Male,81008.0
California,6,2021-03-08,Partial,CASES_Male,0.0
Colorado,8,2021-03-08,Partial,CASES_Male,388081.0344
Indiana,18,2021-03-08,Partial,CASES_Male,52291.73
Louisiana,22,2021-03-08,Partial,CASES_Male,26197.450899999996
North Carolina,37,2021-03-08,Partial,CASES_Male,613427.4437000001
West Virginia,54,2021-03-08,Partial,CASES_Male,0.0
Indiana,18,2021-03-08,Complete,CASES_Male,260987.65
North Carolina,37,2021-03-08,Complete,CASES_Male,371041.02880000003
Delaware,10,2021-03-08 00:00:00,Partial,CASES_Male,103667.0
Texas,48,2021-03-08,Partial,CASES_Male,1794631.0
Texas,48,2021-03-08,Complete,CASES_Male,971438.0
Tennessee,47,2021-03-08 00:00:00,Complete,CASES_Male,222392.0
Tennessee,47,2021-03-08 00:00:00,Partial,CASES_Male,410738.0
Alabama,1,2021-03-08,Complete Coverage,CASES_Male,0.0
Alaska,2,2021-03-08,Complete Coverage,CASES_Male,0.0
Arizona,4,2021-03-08,Complete Coverage,CASES_Male,0.0
Georgia,13,2021-03-08,Complete Coverage,CASES_Male,0.0
Idaho,16,2021-03-08,Complete Coverage,CASES_Male,0.0
Kansas,20,2021-03-08,Complete Coverage,CASES_Male,0.0
Kentucky,21,2021-03-08,Complete Coverage,CASES_Male,0.0
Oregon,41,2021-03-08,Complete Coverage,CASES_Male,0.0
South Dakota,46,2021-03-08,Complete Coverage,CASES_Male,0.0
Utah,49,2021-03-08,Complete Coverage,CASES_Male,0.0
California,6,2021-03-08,Complete Coverage,CASES_Male,0.0
Colorado,8,2021-03-08,Complete Coverage,CASES_Male,0.0
Louisiana,22,2021-03-08,Complete Coverage,CASES_Male,0.0
Delaware,10,2021-03-08 00:00:00,Complete Coverage,CASES_Male,0.0
Missouri,29,2021-03-08,Complete Coverage,CASES_Male,0.0
Vermont,50,2021-03-08,Complete Coverage,CASES_Male,0.0
Alabama,1,2021-03-08,Partial Coverage,CASES_UnknownGender,0.31437863853694065
Alaska,2,2021-03-08,Partial Coverage,CASES_UnknownGender,2.9931790172415895
Arizona,4,2021-03-08,Partial Coverage,CASES_UnknownGender,0.21861182979294508
District of Columbia,11,2021-03-08,Partial Coverage,CASES_UnknownGender,0.3054113335369409
Florida,12,2021-03-08,Partial Coverage,CASES_UnknownGender,0.7228368215580634
Georgia,13,2021-03-08,Partial Coverage,CASES_UnknownGender,100.0
Idaho,16,2021-03-08,Partial Coverage,CASES_UnknownGender,100.0
Illinois,17,2021-03-08,Partial Coverage,CASES_UnknownGender,0.6696702482219026
Kansas,20,2021-03-08,Partial Coverage,CASES_UnknownGender,0.18650640930755796
Kentucky,21,2021-03-08,Partial Coverage,CASES_UnknownGender,0.39333990220656023
Maine,23,2021-03-08,Partial Coverage,CASES_UnknownGender,0.4194258797620322
Maryland,24,2021-03-08,Partial Coverage,CASES_UnknownGender,1.2208135652251388
Massachusetts,25,2021-03-08,Partial Coverage,CASES_UnknownGender,2.67305411647213
Minnesota,27,2021-03-08,Partial Coverage,CASES_UnknownGender,0.0
Mississippi,28,2021-03-08,Partial Coverage,CASES_UnknownGender,100.0
Nebraska,31,2021-03-08,Partial Coverage,CASES_UnknownGender,1.4841758626945156
Ohio,39,2021-03-08,Partial Coverage,CASES_UnknownGender,2.082110175652784
Oregon,41,2021-03-08,Partial Coverage,CASES_UnknownGender,0.46551000459171743
Pennsylvania,42,2021-03-08,Partial Coverage,CASES_UnknownGender,3.355738218225756
Rhode Island,44,2021-03-08,Partial Coverage,CASES_UnknownGender,0.08177969725476782
South Dakota,46,2021-03-08,Partial Coverage,CASES_UnknownGender,3.524255705002267
Utah,49,2021-03-08,Partial Coverage,CASES_UnknownGender,100.0
Virginia,51,2021-03-08,Partial Coverage,CASES_UnknownGender,10.048438942462766
Washington,53,2021-03-08,Partial Coverage,CASES_UnknownGender,100.0
Connecticut,9,2021-03-08,Complete Coverage,CASES_UnknownGender,0.07507268137009093
District of Columbia,11,2021-03-08,Complete Coverage,CASES_UnknownGender,0.3638465723612622
Florida,12,2021-03-08,Complete Coverage,CASES_UnknownGender,0.11681725872431667
Illinois,17,2021-03-08,Complete Coverage,CASES_UnknownGender,0.9354611935169121
Maine,23,2021-03-08,Complete Coverage,CASES_UnknownGender,0.5680958472606226
Maryland,24,2021-03-08,Complete Coverage,CASES_UnknownGender,0.32810203056664505
Massachusetts,25,2021-03-08,Complete Coverage,CASES_UnknownGender,2.1813214979724678
Minnesota,27,2021-03-08,Complete Coverage,CASES_UnknownGender,0.0
Mississippi,28,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Nebraska,31,2021-03-08,Complete Coverage,CASES_UnknownGender,2.5919245178298875
Ohio,39,2021-03-08,Complete Coverage,CASES_UnknownGender,1.9015653713665008
Pennsylvania,42,2021-03-08,Complete Coverage,CASES_UnknownGender,3.9824960922606603
Rhode Island,44,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Virginia,51,2021-03-08,Complete Coverage,CASES_UnknownGender,10.761810160451734
Washington,53,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
West Virginia,54,2021-03-08,Complete Coverage,CASES_UnknownGender,0.2629439501986017
California,6,2021-03-08,Partial Coverage,CASES_UnknownGender,100.0
Colorado,8,2021-03-08,Partial Coverage,CASES_UnknownGender,0.28999999999998904
Indiana,18,2021-03-08,Partial Coverage,CASES_UnknownGender,36.20000000000001
Louisiana,22,2021-03-08,Partial Coverage,CASES_UnknownGender,36.22999999999999
North Carolina,37,2021-03-08,Partial Coverage,CASES_UnknownGender,0.849999999999993
West Virginia,54,2021-03-08,Partial Coverage,CASES_UnknownGender,100.0
Indiana,18,2021-03-08,Complete Coverage,CASES_UnknownGender,0.09999999999999347
North Carolina,37,2021-03-08,Complete Coverage,CASES_UnknownGender,0.7200000000000071
Delaware,10,2021-03-08 00:00:00,Partial Coverage,CASES_UnknownGender,0.05439116805033388
Texas,48,2021-03-08,Partial Coverage,CASES_UnknownGender,1.5282594794572497
Texas,48,2021-03-08,Complete Coverage,CASES_UnknownGender,1.121801966452859
Tennessee,47,2021-03-08 00:00:00,Complete Coverage,CASES_UnknownGender,982.0
Tennessee,47,2021-03-08 00:00:00,Partial Coverage,CASES_UnknownGender,1833.0
Missouri,29,2021-03-08,Partial Coverage,CASES_UnknownGender,0.0
North Dakota,38,2021-03-08,Partial Coverage,CASES_UnknownGender,100.0
Vermont,50,2021-03-08,Partial Coverage,CASES_UnknownGender,0.0
Wisconsin,55,2021-03-08,Partial Coverage,CASES_UnknownGender,0.0
North Dakota,38,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Wisconsin,55,2021-03-08,Complete Coverage,CASES_UnknownGender,0.0
Alabama,1,2021-03-08,Partial,CASES_UnknownGender,0.31437863853694065
Alaska,2,2021-03-08,Partial,CASES_UnknownGender,2.9931790172415895
Arizona,4,2021-03-08,Partial,CASES_UnknownGender,0.21861182979294508
District of Columbia,11,2021-03-08,Partial,CASES_UnknownGender,0.3054113335369409
Florida,12,2021-03-08,Partial,CASES_UnknownGender,0.7228368215580634
Georgia,13,2021-03-08,Partial,CASES_UnknownGender,100.0
Idaho,16,2021-03-08,Partial,CASES_UnknownGender,100.0
Illinois,17,2021-03-08,Partial,CASES_UnknownGender,0.6696702482219026
Kansas,20,2021-03-08,Partial,CASES_UnknownGender,0.18650640930755796
Kentucky,21,2021-03-08,Partial,CASES_UnknownGender,0.39333990220656023
Maine,23,2021-03-08,Partial,CASES_UnknownGender,0.4194258797620322
Maryland,24,2021-03-08,Partial,CASES_UnknownGender,1.2208135652251388
Massachusetts,25,2021-03-08,Partial,CASES_UnknownGender,2.67305411647213
Minnesota,27,2021-03-08,Partial,CASES_UnknownGender,0.0
Mississippi,28,2021-03-08,Partial,CASES_UnknownGender,100.0
